Item                      , Qty, Price USD (including shipping), Link
Gateron Red Switches x65  ,   1, 21.34                         , https://www.aliexpress.us/item/3256805364014141.html
Keycaps x65               ,   1, 7.83                          , https://www.aliexpress.us/item/3256807958489968.html
PCB                       ,   1, 29.81                        , JLCPCB
Diodes x65                ,   1, 1.45                         , https://www.aliexpress.us/item/3256803242364455.html
Nice!Nano V2              ,   1, 25                            , https://typeractive.xyz/products/nice-nano
Stabilizers               ,   1, 2.96                         , https://www.aliexpress.us/item/3256802930868859.html?
3D printed case           ,   1, Free                          , Self-printed
601230 3.7V 200mAh Battery,   1, 12.39                         , https://www.aliexpress.us/item/2251832650224851.html
M3 Heatset Inserts        ,   1, 4.62                          , https://www.aliexpress.us/item/3256804442999990.html
Nano Header/Sockets       ,   1, Free                          , From my own stock
